alg,op,n,ns
Ed25519,verify_chain,5,219796
Ed25519,verify_chain,5,219186
Ed25519,verify_chain,5,219090
Ed25519,verify_chain,5,219295
Ed25519,verify_chain,5,219161
Ed25519,verify_chain,5,219084
Ed25519,verify_chain,5,219130
Ed25519,verify_chain,5,239594
Ed25519,verify_chain,5,232878
Ed25519,verify_chain,5,219777
Ed25519,verify_chain,5,226722
Ed25519,verify_chain,5,220470
Ed25519,verify_chain,5,219016
Ed25519,verify_chain,5,226943
Ed25519,verify_chain,5,219180
Ed25519,verify_chain,5,227310
Ed25519,verify_chain,5,221702
Ed25519,verify_chain,5,219427
Ed25519,verify_chain,5,218587
Ed25519,verify_chain,5,219146
Ed25519,verify_chain,5,218619
Ed25519,verify_chain,5,218732
Ed25519,verify_chain,5,219110
Ed25519,verify_chain,5,218663
Ed25519,verify_chain,5,218519
Ed25519,verify_chain,5,229232
Ed25519,verify_chain,5,220082
Ed25519,verify_chain,5,231787
Ed25519,verify_chain,5,223057
Ed25519,verify_chain,5,219209
Ed25519,verify_chain,5,218727
Ed25519,verify_chain,5,226574
Ed25519,verify_chain,5,219465
Ed25519,verify_chain,5,226680
Ed25519,verify_chain,5,222234
Ed25519,verify_chain,5,219424
Ed25519,verify_chain,5,218676
Ed25519,verify_chain,5,218727
Ed25519,verify_chain,5,219089
Ed25519,verify_chain,5,219023
Ed25519,verify_chain,5,218941
Ed25519,verify_chain,5,218952
Ed25519,verify_chain,5,218935
Ed25519,verify_chain,5,232038
Ed25519,verify_chain,5,250511
Ed25519,verify_chain,5,237031
Ed25519,verify_chain,5,287988
Ed25519,verify_chain,5,233864
Ed25519,verify_chain,5,300656
Ed25519,verify_chain,5,233255
Ed25519,verify_chain,5,220489
Ed25519,verify_chain,5,219327
Ed25519,verify_chain,5,218861
Ed25519,verify_chain,5,218326
Ed25519,verify_chain,5,218512
Ed25519,verify_chain,5,295081
Ed25519,verify_chain,5,221334
Ed25519,verify_chain,5,218740
Ed25519,verify_chain,5,218256
Ed25519,verify_chain,5,218996
Ed25519,verify_chain,5,218666
Ed25519,verify_chain,5,228959
Ed25519,verify_chain,5,219617
Ed25519,verify_chain,5,228611
Ed25519,verify_chain,5,219933
Ed25519,verify_chain,5,218554
Ed25519,verify_chain,5,225814
Ed25519,verify_chain,5,219560
Ed25519,verify_chain,5,219110
Ed25519,verify_chain,5,221780
Ed25519,verify_chain,5,218482
Ed25519,verify_chain,5,229478
Ed25519,verify_chain,5,219794
Ed25519,verify_chain,5,219202
Ed25519,verify_chain,5,219180
Ed25519,verify_chain,5,219307
Ed25519,verify_chain,5,218889
Ed25519,verify_chain,5,219057
Ed25519,verify_chain,5,219119
Ed25519,verify_chain,5,229770
Ed25519,verify_chain,5,219428
Ed25519,verify_chain,5,218922
Ed25519,verify_chain,5,219251
Ed25519,verify_chain,5,219178
Ed25519,verify_chain,5,226839
Ed25519,verify_chain,5,219291
Ed25519,verify_chain,5,218912
Ed25519,verify_chain,5,235163
Ed25519,verify_chain,5,229856
Ed25519,verify_chain,5,219731
Ed25519,verify_chain,10,597544
Ed25519,verify_chain,10,427191
Ed25519,verify_chain,10,392168
Ed25519,verify_chain,10,392492
Ed25519,verify_chain,10,388188
Ed25519,verify_chain,10,482055
Ed25519,verify_chain,10,376993
Ed25519,verify_chain,10,385131
Ed25519,verify_chain,10,379660
Ed25519,verify_chain,10,387753
Ed25519,verify_chain,10,396928
Ed25519,verify_chain,10,374833
Ed25519,verify_chain,10,374031
Ed25519,verify_chain,10,393639
Ed25519,verify_chain,10,389533
Ed25519,verify_chain,10,376619
Ed25519,verify_chain,10,374146
Ed25519,verify_chain,10,374409
Ed25519,verify_chain,10,383140
Ed25519,verify_chain,10,386000
Ed25519,verify_chain,10,376293
Ed25519,verify_chain,10,383473
Ed25519,verify_chain,10,374661
Ed25519,verify_chain,10,374193
Ed25519,verify_chain,10,384623
Ed25519,verify_chain,10,375064
Ed25519,verify_chain,10,375345
Ed25519,verify_chain,10,374027
Ed25519,verify_chain,10,392088
Ed25519,verify_chain,10,378461
Ed25519,verify_chain,10,374100
Ed25519,verify_chain,10,422241
Ed25519,verify_chain,10,378295
Ed25519,verify_chain,10,375378
Ed25519,verify_chain,10,388088
Ed25519,verify_chain,10,374933
Ed25519,verify_chain,10,385084
Ed25519,verify_chain,10,384644
Ed25519,verify_chain,10,388357
Ed25519,verify_chain,10,388829
Ed25519,verify_chain,10,375309
Ed25519,verify_chain,10,374084
Ed25519,verify_chain,10,407535
Ed25519,verify_chain,10,408841
Ed25519,verify_chain,10,416254
Ed25519,verify_chain,10,381496
Ed25519,verify_chain,10,380739
Ed25519,verify_chain,10,374564
Ed25519,verify_chain,10,380032
Ed25519,verify_chain,10,408366
Ed25519,verify_chain,10,375104
Ed25519,verify_chain,10,377220
Ed25519,verify_chain,10,383233
Ed25519,verify_chain,10,373693
Ed25519,verify_chain,10,384821
