alg,op,n,ns
Ed25519,verify_chain,2,119333
Ed25519,verify_chain,2,119325
Ed25519,verify_chain,2,119438
Ed25519,verify_chain,2,119312
Ed25519,verify_chain,2,119286
Ed25519,verify_chain,2,129216
Ed25519,verify_chain,2,120050
Ed25519,verify_chain,2,119404
Ed25519,verify_chain,2,119125
Ed25519,verify_chain,2,119154
Ed25519,verify_chain,2,119108
Ed25519,verify_chain,2,119281
Ed25519,verify_chain,2,119124
Ed25519,verify_chain,2,119456
Ed25519,verify_chain,2,120437
Ed25519,verify_chain,2,119375
Ed25519,verify_chain,2,119852
Ed25519,verify_chain,2,119587
Ed25519,verify_chain,2,119343
Ed25519,verify_chain,2,119548
Ed25519,verify_chain,2,119254
Ed25519,verify_chain,2,130503
Ed25519,verify_chain,2,120352
Ed25519,verify_chain,2,119440
Ed25519,verify_chain,5,231992
Ed25519,verify_chain,5,217123
Ed25519,verify_chain,5,211111
Ed25519,verify_chain,5,215980
Ed25519,verify_chain,5,218677
Ed25519,verify_chain,5,211071
Ed25519,verify_chain,5,210744
Ed25519,verify_chain,5,237654
Ed25519,verify_chain,5,213106
Ed25519,verify_chain,5,221219
Ed25519,verify_chain,5,213579
Ed25519,verify_chain,5,210678
Ed25519,verify_chain,5,210277
Ed25519,verify_chain,5,210276
Ed25519,verify_chain,5,210482
Ed25519,verify_chain,5,210302
Ed25519,verify_chain,5,222697
Ed25519,verify_chain,5,211314
Ed25519,verify_chain,5,210832
Ed25519,verify_chain,5,210226
Ed25519,verify_chain,5,209813
Ed25519,verify_chain,5,210238
Ed25519,verify_chain,5,222430
Ed25519,verify_chain,5,210914
Ed25519,verify_chain,5,222569
Ed25519,verify_chain,5,211113
Ed25519,verify_chain,5,210263
Ed25519,verify_chain,5,211850
Ed25519,verify_chain,5,210211
Ed25519,verify_chain,5,210170
Ed25519,verify_chain,5,210221
Ed25519,verify_chain,5,219302
Ed25519,verify_chain,5,220829
Ed25519,verify_chain,5,211806
Ed25519,verify_chain,5,210741
Ed25519,verify_chain,5,210560
Ed25519,verify_chain,5,210090
Ed25519,verify_chain,5,210135
Ed25519,verify_chain,5,210377
Ed25519,verify_chain,5,210362
Ed25519,verify_chain,5,222604
Ed25519,verify_chain,5,221362
Ed25519,verify_chain,5,210429
Ed25519,verify_chain,5,210204
Ed25519,verify_chain,5,210062
Ed25519,verify_chain,5,209868
Ed25519,verify_chain,5,212725
Ed25519,verify_chain,5,210232
Ed25519,verify_chain,5,210073
Ed25519,verify_chain,5,220208
Ed25519,verify_chain,5,211247
Ed25519,verify_chain,5,210506
Ed25519,verify_chain,5,218407
Ed25519,verify_chain,5,211301
Ed25519,verify_chain,5,210303
Ed25519,verify_chain,5,287407
Ed25519,verify_chain,5,310852
Ed25519,verify_chain,5,242515
Ed25519,verify_chain,5,222764
Ed25519,verify_chain,5,228338
Ed25519,verify_chain,5,230373
Ed25519,verify_chain,5,334114
Ed25519,verify_chain,5,214022
Ed25519,verify_chain,5,247917
Ed25519,verify_chain,5,220621
Ed25519,verify_chain,5,213395
Ed25519,verify_chain,5,211654
Ed25519,verify_chain,5,210597
Ed25519,verify_chain,5,210678
Ed25519,verify_chain,5,210743
Ed25519,verify_chain,5,210316
Ed25519,verify_chain,5,225530
Ed25519,verify_chain,5,222080
Ed25519,verify_chain,5,212634
Ed25519,verify_chain,5,210836
Ed25519,verify_chain,5,210707
Ed25519,verify_chain,5,216650
Ed25519,verify_chain,5,221925
Ed25519,verify_chain,5,210530
Ed25519,verify_chain,5,210373
Ed25519,verify_chain,5,220444
Ed25519,verify_chain,5,211392
Ed25519,verify_chain,5,210503
Ed25519,verify_chain,5,210044
Ed25519,verify_chain,5,210240
Ed25519,verify_chain,5,210075
Ed25519,verify_chain,5,210088
Ed25519,verify_chain,5,210264
Ed25519,verify_chain,5,209794
Ed25519,verify_chain,5,219162
Ed25519,verify_chain,5,212515
Ed25519,verify_chain,5,210571
Ed25519,verify_chain,5,210574
Ed25519,verify_chain,5,210330
Ed25519,verify_chain,5,210250
Ed25519,verify_chain,5,214448
Ed25519,verify_chain,5,216733
Ed25519,verify_chain,5,210231
Ed25519,verify_chain,5,217781
Ed25519,verify_chain,5,213115
Ed25519,verify_chain,5,210154
Ed25519,verify_chain,10,491205
Ed25519,verify_chain,10,487368
Ed25519,verify_chain,10,411541
Ed25519,verify_chain,10,373191
Ed25519,verify_chain,10,381578
Ed25519,verify_chain,10,369482
Ed25519,verify_chain,10,379514
Ed25519,verify_chain,10,454846
Ed25519,verify_chain,10,433137
Ed25519,verify_chain,10,420654
Ed25519,verify_chain,10,421487
Ed25519,verify_chain,10,457765
Ed25519,verify_chain,10,374815
Ed25519,verify_chain,10,373182
Ed25519,verify_chain,10,377133
Ed25519,verify_chain,10,393545
Ed25519,verify_chain,10,379888
Ed25519,verify_chain,10,387402
Ed25519,verify_chain,10,376748
Ed25519,verify_chain,10,375293
Ed25519,verify_chain,10,369239
Ed25519,verify_chain,10,403560
Ed25519,verify_chain,10,366540
Ed25519,verify_chain,10,366714
Ed25519,verify_chain,10,367078
Ed25519,verify_chain,10,379190
Ed25519,verify_chain,10,366899
Ed25519,verify_chain,10,365769
Ed25519,verify_chain,10,365843
Ed25519,verify_chain,10,366622
Ed25519,verify_chain,10,375136
Ed25519,verify_chain,10,367035
Ed25519,verify_chain,10,376503
Ed25519,verify_chain,10,382833
Ed25519,verify_chain,10,366278
Ed25519,verify_chain,10,365979
Ed25519,verify_chain,10,376071
Ed25519,verify_chain,10,366135
Ed25519,verify_chain,10,381440
Ed25519,verify_chain,10,366049
Ed25519,verify_chain,10,378462
Ed25519,verify_chain,10,371214
Ed25519,verify_chain,10,594221
Ed25519,verify_chain,10,384783
Ed25519,verify_chain,10,372134
Ed25519,verify_chain,10,411350
Ed25519,verify_chain,10,369217
Ed25519,verify_chain,10,366001
Ed25519,verify_chain,10,381544
Ed25519,verify_chain,10,384996
Ed25519,verify_chain,10,366267
Ed25519,verify_chain,10,365392
Ed25519,verify_chain,10,365174
Ed25519,verify_chain,10,391727
Ed25519,verify_chain,10,375941
Ed25519,verify_chain,10,367255
Ed25519,verify_chain,10,365050
Ed25519,verify_chain,10,364994
Ed25519,verify_chain,10,364938
Ed25519,verify_chain,10,376870
Ed25519,verify_chain,10,378551
Ed25519,verify_chain,10,366019
Ed25519,verify_chain,10,364625
Ed25519,verify_chain,10,373978
Ed25519,verify_chain,10,386577
Ed25519,verify_chain,10,366285
Ed25519,verify_chain,10,364318
Ed25519,verify_chain,10,364525
Ed25519,verify_chain,10,364971
Ed25519,verify_chain,10,364040
Ed25519,verify_chain,10,375412
Ed25519,verify_chain,10,366550
Ed25519,verify_chain,10,365006
Ed25519,verify_chain,10,365427
Ed25519,verify_chain,10,369908
Ed25519,verify_chain,10,398385
Ed25519,verify_chain,10,366058
Ed25519,verify_chain,10,364953
Ed25519,verify_chain,10,378859
Ed25519,verify_chain,10,375905
Ed25519,verify_chain,10,366978
Ed25519,verify_chain,10,365259
Ed25519,verify_chain,10,366263
Ed25519,verify_chain,10,388517
Ed25519,verify_chain,10,482369
Ed25519,verify_chain,10,472724
Ed25519,verify_chain,10,371703
Ed25519,verify_chain,10,391729
Ed25519,verify_chain,10,371377
Ed25519,verify_chain,10,379527
Ed25519,verify_chain,10,368370
Ed25519,verify_chain,10,374005
Ed25519,verify_chain,10,367336
Ed25519,verify_chain,10,365978
Ed25519,verify_chain,10,366253
Ed25519,verify_chain,10,390717
Ed25519,verify_chain,10,366358
Ed25519,verify_chain,10,365754
Ed25519,verify_chain,10,365802
Ed25519,verify_chain,10,366470
Ed25519,verify_chain,10,376568
Ed25519,authority_build,2,23493
Ed25519,authority_build,2,23310
