alg,phase,rep,ns
Ed25519,append_sign,37,23530
Ed25519,append_sign,38,23186
Ed25519,append_sign,39,23195
Ed25519,append_sign,40,23270
Ed25519,append_sign,41,23419
Ed25519,append_sign,42,23319
Ed25519,append_sign,43,23388
Ed25519,append_sign,44,23248
Ed25519,append_sign,45,23501
Ed25519,append_sign,46,23228
Ed25519,append_sign,47,23324
Ed25519,append_sign,48,23200
Ed25519,append_sign,49,23318
Ed25519,append_sign,50,23103
Ed25519,append_sign,51,23364
Ed25519,append_sign,52,23450
Ed25519,append_sign,53,23272
Ed25519,append_sign,54,23426
Ed25519,append_sign,55,23332
Ed25519,append_sign,56,23412
Ed25519,append_sign,57,23342
Ed25519,append_sign,58,23179
Ed25519,append_sign,59,23229
Ed25519,append_sign,60,23394
Ed25519,append_sign,61,23101
Ed25519,append_sign,62,23773
Ed25519,append_sign,63,23403
Ed25519,append_sign,64,23220
Ed25519,append_sign,65,23181
Ed25519,append_sign,66,23198
Ed25519,append_sign,67,23080
Ed25519,append_sign,68,23142
Ed25519,append_sign,69,22967
Ed25519,append_sign,70,23264
Ed25519,append_sign,71,23085
Ed25519,append_sign,72,23381
Ed25519,append_sign,73,23054
Ed25519,append_sign,74,22986
Ed25519,append_sign,75,39226
Ed25519,append_sign,76,25453
Ed25519,append_sign,77,23361
Ed25519,append_sign,78,23136
Ed25519,append_sign,79,23146
Ed25519,append_sign,80,23270
Ed25519,append_sign,81,23338
Ed25519,append_sign,82,23030
Ed25519,append_sign,83,23185
Ed25519,append_sign,84,23137
Ed25519,append_sign,85,23135
Ed25519,append_sign,86,23333
Ed25519,append_sign,87,23345
Ed25519,append_sign,88,23169
Ed25519,append_sign,89,23139
Ed25519,append_sign,90,23278
Ed25519,append_sign,91,23626
Ed25519,append_sign,92,23260
Ed25519,append_sign,93,23205
Ed25519,append_sign,94,23127
Ed25519,append_sign,95,23154
Ed25519,append_sign,96,23363
Ed25519,append_sign,97,23126
Ed25519,append_sign,98,23148
Ed25519,append_sign,99,23117
Ed25519,append_sign,100,30170
Mldsa44,keygen,0,22154
Mldsa44,keygen,1,20423
Mldsa44,keygen,2,19567
Mldsa44,keygen,3,20072
Mldsa44,keygen,4,19992
Mldsa44,keygen,5,19974
Mldsa44,keygen,6,19962
Mldsa44,keygen,7,19966
Mldsa44,keygen,8,19996
Mldsa44,keygen,9,20922
