alg,n,unsealed_bytes,sealed_bytes
Slhdsa128f,4,85901,102897
Slhdsa128f,5,103057,120053
Slhdsa128f,6,120213,137209
Slhdsa128f,7,137369,154365
Slhdsa128f,8,154525,171521
Slhdsa128f,9,171681,188677
Slhdsa128f,10,188837,205833
Slhdsa128f,11,205993,222989
Slhdsa128f,12,223149,240145
Slhdsa128f,13,240305,257301
Slhdsa128f,14,257461,274457
Slhdsa128f,15,274617,291613
Slhdsa128f,16,291773,308769
Slhdsa128f,17,308929,325925
Slhdsa128f,18,326085,343081
Slhdsa128f,19,343241,360237
Slhdsa128f,20,360397,377393
Slhdsa256s,0,30111,59713
Slhdsa256s,1,60003,89605
Slhdsa256s,2,89895,119497
Slhdsa256s,3,119787,149389
Slhdsa256s,4,149679,179281
Slhdsa256s,5,179571,209173
Slhdsa256s,6,209463,239065
Slhdsa256s,7,239355,268957
Slhdsa256s,8,269247,298849
Slhdsa256s,9,299139,328741
Slhdsa256s,10,329031,358633
Slhdsa256s,11,358923,388525
Slhdsa256s,12,388815,418417
Slhdsa256s,13,418707,448309
Slhdsa256s,14,448599,478201
Slhdsa256s,15,478491,508093
Slhdsa256s,16,508383,537985
Slhdsa256s,17,538275,567877
Slhdsa256s,18,568167,597769
Slhdsa256s,19,598059,627661
Slhdsa256s,20,627951,657553
Slhdsa256f,0,50175,99841
Slhdsa256f,1,100131,149797
Slhdsa256f,2,150087,199753
Slhdsa256f,3,200043,249709
Slhdsa256f,4,249999,299665
Slhdsa256f,5,299955,349621
Slhdsa256f,6,349911,399577
Slhdsa256f,7,399867,449533
Slhdsa256f,8,449823,499489
Slhdsa256f,9,499779,549445
Slhdsa256f,10,549735,599401
Slhdsa256f,11,599691,649357
Slhdsa256f,12,649647,699313
Slhdsa256f,13,699603,749269
Slhdsa256f,14,749559,799225
Slhdsa256f,15,799515,849181
Slhdsa256f,16,849471,899137
Slhdsa256f,17,899427,949093
Slhdsa256f,18,949383,999049
Slhdsa256f,19,999339,1049005
Slhdsa256f,20,1049295,1098961
