profile,n,mode,tsrv_us,slope_ms_per_ms,intercept_ms,r2,tau_star_ms
mldsa44,10,new,1007.6365,4.1627065697752315,2.2239912940856352,0.9999991222897844,0.2420628221350726
mldsa44,20,ka,1660.4195,1.0534662373651948,1.909937541781142,0.9999869871205742,1.576148756464037
mldsa44,20,new,1849.7865,5.238787877505962,3.9540545096265434,0.9999826690810482,0.35309436901282415
mldsa65,1,ka,451.771,1.0506237306277673,1.0751587973266004,0.9999476260522758,0.4300026611145157
mldsa65,1,new,863.7195,3.1167181929049845,2.929034577954398,0.9999813497996455,0.27712466977803896
mldsa65,5,ka,1684.6805,1.0305327366216375,2.689724171710744,0.9999631655764334,1.6347666019061502
mldsa65,5,new,1003.3715,4.152114540986492,3.967778931513207,0.999981478414209,0.24165313603357652
mldsa65,10,ka,1544.0635,1.044525577948689,3.369530531882177,0.9999876158803448,1.4782438387313959
mldsa65,10,new,2144.7515,4.161351131768647,6.111818325831595,0.9999671053021513,0.51539786768449
mldsa65,20,ka,3232.56,1.0460108909751393,4.445282665557969,0.9999594631379073,3.090369352642647
mldsa65,20,new,3243.8595,5.24211391873652,6.910310759178175,0.9999804096892265,0.6188075174035612
mldsa87,1,ka,1228.4455,1.0451630250879784,1.1520792611533703,0.9998384405629633,1.1753625707306221
mldsa87,1,new,547.7115,3.1395952109320033,1.5569333649278938,0.9999468516012323,0.17445290338476765
mldsa87,5,ka,1905.0695,1.0466532922181861,2.8252254376603494,0.9999782747258497,1.8201533537075691
mldsa87,5,new,2081.624,4.186144744295608,5.034847857475323,0.9999692345677574,0.49726517527531633
mldsa87,10,ka,2262.978,1.0491075271994552,3.941959378834157,0.9999458285895685,2.1570505799733577
mldsa87,10,new,2391.071,5.249780455210581,6.834207223470405,0.9999783425466062,0.4554611417372288
mldsa87,20,ka,4060.948,1.0459463060733345,5.624909486071069,0.9999152420928066,3.8825587665637533
mldsa87,20,new,3962.6265,6.3046705051651735,9.001544009649292,0.9999813365003024,0.6285223782517377
slhdsa128f,1,ka,3605.2945,1.0137857585310481,5.338588215387673,0.999845530657003,3.5562686392675187
slhdsa128f,1,new,3247.676,4.014251205710069,6.9851245255023455,0.9999839908107008,0.8090365633770864
slhdsa128f,5,ka,5240.846,1.0217880380519928,7.289407782075142,0.9997378310772089,5.129093123845441
slhdsa128f,5,new,5610.1555,5.002433938040642,13.305602466119831,0.9999132067761362,1.121485174914152
slhdsa128f,10,ka,8476.884,1.0228043285503465,10.152247827511633,0.9996338843381385,8.28788436202119
slhdsa128f,10,new,8296.6825,7.0218940883528225,13.365560379889898,0.9999860462323114,1.181544807655482
slhdsa128f,20,ka,14531.302,1.0074426509365428,15.798488791310023,0.9999033933840356,14.423949578163436
slhdsa128f,20,new,14916.953,9.020072915518222,8.743674460858221,0.9990003793146681,1.6537508221620612
slhdsa128s,1,ka,2212.3695,1.0067900048075835,3.1673202820581308,0.9999645170549906,2.197448812002087
slhdsa128s,1,new,1900.2745,3.009055919003293,4.202934659127089,0.999987247654595,0.631518506518629
slhdsa128s,5,ka,2843.7395,1.0157749289419917,3.665998202968559,0.9997905533334197,2.7995763815139396
slhdsa128s,5,new,3213.1895,4.014465303013964,4.958338011125049,0.9999770276026212,0.8004028575331352
slhdsa128s,10,ka,3311.9865,1.0289844172834604,3.8519555169031836,0.9998315629284557,3.2186945150673045
slhdsa128s,10,new,3475.0975,5.0365576993642875,4.797744506504663,0.9999884987457752,0.6899747223065915
slhdsa128s,20,ka,6682.9105,1.0220083574071974,8.377265185815633,0.999728644959722,6.53899789719365
slhdsa128s,20,new,6638.634,6.00529970013055,14.208538208485685,0.9999716211363381,1.105462563318144
slhdsa256f,1,ka,3740.1355,1.0180659671302081,5.056931476506982,0.9998227336906187,3.6737653754824375
slhdsa256f,1,new,3704.51,6.018022654149166,7.323662756652323,0.9999895569602882,0.6155693012298485
slhdsa256f,5,ka,8266.105,1.0192364713588378,9.55614479484619,0.9998512034363624,8.110095382457907
slhdsa256f,5,new,8320.338,9.036222467436717,1.7436614572995097,0.9990956410465653,0.9207761351586344
slhdsa256f,10,ka,13979.542,1.0077239257123403,15.443715238693384,0.9998241868713372,13.872392669567843
slhdsa256f,10,new,14694.745,13.192682810364406,-34.37168053283582,0.9934010209527417,1.1138557040464543
slhdsa256f,20,ka,26276.0895,1.0028160704393239,28.794868002469066,0.9999817554385539,26.20230197197448
slhdsa256f,20,new,27285.0115,14.963447608179138,-12.107433779225673,0.9951252582171636,1.8234441830829011
slhdsa256s,1,ka,2248.242,1.006071203808605,3.027732227994104,0.9999715239627102,2.2346748336390174
slhdsa256s,1,new,2155.258,5.003839529004429,4.384813765722587,0.9999969455304867,0.4307208469630546
slhdsa256s,5,ka,4853.017,1.019834653700761,5.6628914514190125,0.9999107886775538,4.758631198096126
slhdsa256s,5,new,4916.035,7.015804821591556,8.618926346929307,0.9999819570283249,0.700708632154448
slhdsa256s,10,ka,8066.088,1.0212833837268707,9.288578453116124,0.9997869669096336,7.897992005475705
slhdsa256s,10,new,8164.359,9.034610626399138,1.9983963289874653,0.9991076057885683,0.9036758016049679
slhdsa256s,20,ka,15326.4375,1.0164412841752755,16.87819260834941,0.9998637369054363,15.078527150179296
slhdsa256s,20,new,15399.8765,11.156347439873999,21.371112017896387,0.9959740484467409,1.3803690305448149
