profile,n,mode,loss_pct,samples,fail,fail_rate,p50_us,p95_us,p99_us,tail_ratio,p50_amp,p99_amp
mldsa87,10,ka,5,1000,0,0.0,300913.0515,571484.9961499999,758199.1164099999,2.5196617847930063,13.202363067839872,30.24432407495255
mldsa87,10,new,0,400,0,0.0,105548.605,107689.34855,108372.68992,1.0267562505444767,1.0,1.0
mldsa87,10,new,1,400,0,0.0,105956.7735,167675.2523,349919.94379,3.302478286487272,1.003867114112972,3.2288572337579566
mldsa87,10,new,3,400,0,0.0,107356.7515,373385.18045,1128641.91843,10.513003631914104,1.0171309369744868,10.414449611457979
mldsa87,10,new,5,400,0,0.0,128338.05,1119996.6764999998,1298966.3878499996,10.121444013291457,1.2159142226465238,11.986104514051354
mldsa87,20,ka,0,1000,0,0.0,24049.5175,25777.11155,26364.673059999997,1.0962661957771085,1.0,1.0
mldsa87,20,ka,1,1000,0,0.0,188714.6595,335038.3168,435443.70829,2.3074185622023706,7.846920816602661,16.516180849238264
mldsa87,20,ka,3,1000,0,0.0,394702.672,694858.8896999999,860206.6852299998,2.179378925587815,16.412082778791717,32.62724643967195
mldsa87,20,ka,5,1000,0,0.0,560639.411,976527.9940499997,1185165.4147299998,2.113953089056024,23.31187771230753,44.95278253717893
mldsa87,20,new,0,400,0,0.0,128011.4,130729.02984999999,131887.14623,1.0302765709147779,1.0,1.0
mldsa87,20,new,1,400,0,0.0,129445.6505,276124.2529499998,467369.7048999939,3.6105477711666634,1.0112040841675038,3.543709286763554
mldsa87,20,new,3,400,0,0.0,151853.788,519374.72604999976,1194781.147389999,7.867970652072235,1.1862520681751783,9.059117446566034
mldsa87,20,new,5,400,0,0.0,229528.2565,648353.4654499999,1250731.0523899999,5.449137598402835,1.793029812188602,9.483343056106703
slhdsa128f,1,ka,0,1000,0,0.0,23725.428,25971.85655,27485.429529999998,1.1584798187834586,1.0,1.0
slhdsa128f,1,ka,1,1000,0,0.0,66109.168,126182.32634999997,173154.19136,2.6192160119153214,2.786426782269218,6.299853934281958
slhdsa128f,1,ka,3,1000,0,0.0,127883.382,249838.96929999994,371445.7687,2.904566354837253,5.390140148367397,13.51427920362575
slhdsa128f,1,ka,5,1000,0,0.0,188750.8715,396916.21235,559246.8298099997,2.9628834312958374,7.955636100642737,20.347028930349765
slhdsa128f,1,new,0,400,0,0.0,86002.611,88968.42545000001,90399.84989,1.0511291324631993,1.0,1.0
slhdsa128f,1,new,1,400,0,0.0,86552.221,137665.00535,193172.83594999826,2.2318645751447357,1.0063906199312949,2.1368712026076824
slhdsa128f,1,new,3,400,0,0.0,88138.187,189665.44259999995,1106448.54448,12.553565964319189,1.0248315251731137,12.239495373347903
