profile,n,mode,rtt_ms,samples,total_p50_us,total_p95_us,total_p99_us,tsrv_us,rho,p50_ci_lo_us,p50_ci_hi_us,fail,fail_rate
fndsa1024,5,new,0,400,2526.21,4192.771199999999,4997.7455199999995,1961.249,0.7763602392516853,2351.3907000000004,2709.06765,0,0.0
fndsa1024,5,new,1,400,6100.642,7716.9401,8507.610149999999,2227.9325,0.36519640064111286,5923.048,6240.866,0,0.0
fndsa1024,5,new,5,400,19601.6905,21499.749499999998,22559.60759,3059.491,0.15608301743158326,19412.303649999998,19740.669,0,0.0
fndsa1024,5,new,20,400,66889.2935,70564.5172,72140.67956,3413.8955,0.05103799608826785,66562.8655,67265.3605625,0,0.0
fndsa1024,5,new,50,400,161099.6405,166510.75095,168459.44911,3089.159,0.01917545557775469,160733.1005,161526.5025,0,0.0
fndsa1024,5,new,100,200,318696.2345,325721.2582,327676.27688,3823.0145,0.01199579438394651,317037.4455,319672.8375,0,0.0
fndsa1024,5,new,200,200,629418.4525,641737.69075,643848.9737000001,3759.453,0.005972899245434817,627522.192,630871.691,0,0.0
fndsa1024,10,ka,0,1000,3000.251,5175.8643,6283.60002,2712.856,0.904209681123346,2892.233,3112.0292999999997,0,0.0
fndsa1024,10,ka,1,1000,4383.0015,6199.7020999999995,7064.8429,2938.452,0.6704200306570737,4291.407,4493.07,0,0.0
fndsa1024,10,ka,5,1000,9118.6455,11375.0894,12493.776589999998,3472.591,0.38082311676662944,9036.4395,9280.554,0,0.0
fndsa1024,10,ka,20,1000,24831.7935,28043.44145,29079.67828,3997.136,0.16096847777024242,24660.4855,25027.72,0,0.0
fndsa1024,10,ka,50,1000,56200.4065,59936.46079999999,60952.26184,4837.5305,0.08607643256103495,55970.9140625,56434.847924999995,0,0.0
fndsa1024,10,ka,100,400,108015.801,112052.20505,113101.65072,5097.7345,0.0471943405761533,107797.56142499999,108253.943,0,0.0
fndsa1024,10,ka,200,400,210937.354,218955.1738,221339.41441,4429.6345,0.020999763275688005,210290.603,211748.2015,0,0.0
fndsa1024,10,new,0,400,3540.2735,5658.416799999999,6277.52016,3001.8805,0.8479233313471403,3357.097,3645.757,0,0.0
fndsa1024,10,new,1,400,8347.8045,10419.388699999998,11379.345569999996,3285.6935,0.393599718345105,8127.5195,8518.257,0,0.0
fndsa1024,10,new,5,400,26467.7065,29440.3445,30624.065199999997,4585.767,0.1732589485983608,26224.5915,26684.467,0,0.0
fndsa1024,10,new,20,400,90292.794,95628.847,97576.84486,5320.5785,0.05892583742618486,89876.424,90985.320725,0,0.0
fndsa1024,10,new,50,400,218711.9105,224453.96439999997,227462.80341999998,5040.448,0.02304606085913186,218105.08025,219277.7655,0,0.0
fndsa1024,10,new,100,200,427466.651,435764.53260000004,437974.85512,4679.761,0.010947663376902821,426281.481,428510.0797875,0,0.0
fndsa1024,10,new,200,200,808390.3905,818698.225,821292.15202,4527.4015,0.00560051375326189,807771.618,808867.562,0,0.0
fndsa1024,20,ka,0,1000,3601.9015,5495.730299999999,6091.898139999999,3281.4405,0.9110300489894019,3440.69885,3713.8265,0,0.0
fndsa1024,20,ka,1,1000,4663.858,6603.79075,8104.491349999998,3269.96,0.7011276929957988,4595.095,4721.536,0,0.0
fndsa1024,20,ka,5,1000,9473.9755,11633.1073,12748.53859,4050.088,0.4274961445699327,9402.962,9609.84335,0,0.0
fndsa1024,20,ka,20,1000,25812.273,28510.57425,29722.5085,5172.0045,0.20036997516646443,25595.689475000003,25959.908325,0,0.0
fndsa1024,20,ka,50,1000,56620.127,60344.25435,61512.95258999999,5902.167,0.10424150055332797,56434.855675,56799.833,0,0.0
fndsa1024,20,ka,100,400,106635.275,110199.20525,111348.228,5756.834,0.05398620672193137,106333.1395,107111.268,0,0.0
fndsa1024,20,ka,200,400,206946.828,211662.2206,213529.80071,5681.3,0.0274529455459931,206506.8995,207267.38153749998,0,0.0
fndsa1024,20,new,0,400,3739.6655,5618.544149999999,6624.06966,3231.0365,0.8639907767151902,3510.4735,3938.8848499999995,0,0.0
fndsa1024,20,new,1,400,8386.26,10344.41835,11250.08367,3705.044,0.4417993241325692,8215.0515,8486.997,0,0.0
fndsa1024,20,new,5,400,26111.006,28954.900849999998,29572.242459999998,4810.403,0.18422894161948414,25930.108,26416.1705,0,0.0
fndsa1024,20,new,20,400,88206.578,92601.72415,94660.89045,6514.8975,0.07385954253887958,87865.144,88506.051,0,0.0
fndsa1024,20,new,50,400,208431.3515,212748.7759,214301.81454,6332.3635,0.03038105090442692,208160.43015,208792.176,0,0.0
fndsa1024,20,new,100,200,407681.3735,412055.4466,413765.99906,5719.5405,0.014029437869326644,407361.365,408347.96705000004,0,0.0
fndsa1024,20,new,200,200,808410.0625,812355.2622,813541.28918,6087.331,0.007530003994723903,808122.9195,808864.6135,0,0.0
fndsa512,1,ka,0,1000,914.9915,1647.7590500000001,2389.24716,648.1075,0.7083207876794484,875.1867625,958.5105,0,0.0
fndsa512,1,ka,1,1000,1899.6655,2901.4214499999994,3647.0774899999997,515.708,0.27147305670393024,1863.1224125,1938.7765,0,0.0
fndsa512,1,ka,5,1000,6185.9835,7059.94875,7648.331899999999,645.462,0.10434266434755282,6156.539825,6224.5295,0,0.0
fndsa512,1,ka,20,1000,21630.292,22895.08005,23512.641929999998,1020.169,0.04716390328896161,21577.245,21668.3224375,0,0.0
fndsa512,1,ka,50,1000,52470.8725,53578.56,54050.390810000004,1118.3205,0.021313167605512943,52420.804,52536.128,0,0.0
fndsa512,1,ka,100,400,105295.2135,107718.797,107984.1673,1238.857,0.01176555855504296,105095.786,105499.5565,0,0.0
fndsa512,1,ka,200,400,211287.5995,215887.6904,216632.93008000002,1229.6975,0.005820017373996433,210857.193,211604.907925,0,0.0
fndsa512,1,new,0,400,874.001,1928.9155499999947,2842.908189999999,445.258,0.5094479296934443,755.534,956.127,0,0.0
fndsa512,1,new,1,400,3566.1525,4575.74415,5092.094119999998,741.9515,0.20805377784601192,3488.3356875,3637.8175,0,0.0
fndsa512,1,new,5,400,12030.6565,13470.8187,14696.06943,761.642,0.0633084320876421,11940.5785,12092.354,0,0.0
fndsa512,1,new,20,400,43192.154,45410.2405,46475.622339999994,1162.131,0.026906067245453885,43077.0306625,43284.1215625,0,0.0
fndsa512,1,new,50,400,106075.284,108275.80475,109095.19187000001,1288.8065,0.012149922690756123,105808.305,106239.5505,0,0.0
fndsa512,1,new,100,200,210120.596,212874.81019999998,213520.82981999998,1260.28,0.005997888945641483,209465.602,210385.869,0,0.0
fndsa512,1,new,200,200,416149.778,419731.627,421090.49818,1382.515,0.0033221572450292166,414751.257,416685.3565,0,0.0
fndsa512,5,ka,0,1000,1605.953,2818.8527999999997,3260.5227999999997,1310.0455,0.8157433623524474,1525.405,1684.4013125,0,0.0
fndsa512,5,ka,1,1000,2679.445,4163.1356,4807.910569999999,1263.213,0.4714457658209069,2603.661,2767.41,0,0.0
fndsa512,5,ka,5,1000,7090.464,8800.87695,9616.747379999999,1495.026,0.21085023490705262,7011.549675,7165.427925,0,0.0
fndsa512,5,ka,20,1000,22333.361,24020.882899999997,24970.35085,1625.322,0.07277552178554764,22271.679,22396.0861875,0,0.0
fndsa512,5,ka,50,1000,53200.133,55330.1719,56334.252759999996,1946.754,0.036593028818179836,53121.6675,53255.672137500005,0,0.0
fndsa512,5,ka,100,400,106568.8185,108060.9388,109102.28452,2643.9965,0.024810226267076425,106373.835,106748.8206375,0,0.0
fndsa512,5,ka,200,400,211563.9695,216055.7404,216763.69378,2173.7495,0.010274667776074223,211349.868,211951.854,0,0.0
fndsa512,5,new,0,400,1571.6095,3360.693949999998,3862.378029999998,1100.473,0.7002203791717981,1409.725,1727.9831499999993,0,0.0
fndsa512,5,new,1,400,4347.6765,5667.902349999999,6193.54871,1441.3825,0.3315293812683625,4216.482,4462.203,0,0.0
fndsa512,5,new,5,400,13291.134,15141.680999999999,15923.80393,1898.6915,0.1428539882300487,13145.586,13526.928,0,0.0
fndsa512,5,new,20,400,43882.1105,46891.71625,48718.31974,1965.3465,0.04478696392690593,43650.187625,44134.8762375,0,0.0
fndsa512,5,new,50,400,106562.49,110492.65525,111736.84467,2200.032,0.020645463520981913,106270.906,106830.6132,0,0.0
